CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Org_Type,Indicator,Part,Inadequate,Negative,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Highgrade_dyskaryosis_severe_worse
2022-23,N3,Midlands,60370,Royal Derby Hospital,Lab,NHS_Hospital,A1,64.0,6213.0,250.0,436.0,131.0,not included,not included,not included,116.0
2022-23,N3,Midlands,60370,Royal Derby Hospital,Lab,Private,A1,1.0,198.0,6.0,2.0,1.0,not included,not included,not included,1.0
2022-23,N3,Midlands,60370,Royal Derby Hospital,Lab,Other,A1,4.0,154.0,3.0,5.0,0.0,not included,not included,not included,4.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,GP,A1,942.0,305913.0,5995.0,5884.0,1248.0,not included,not included,not included,1054.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,NHSCC,A1,5.0,1697.0,46.0,37.0,11.0,not included,not included,not included,10.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,GUM,A1,4.0,446.0,14.0,12.0,4.0,not included,not included,not included,6.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,NHS_Hospital,A1,94.0,6817.0,434.0,558.0,151.0,not included,not included,not included,122.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,Private,A1,0.0,24.0,1.0,0.0,0.0,not included,not included,not included,0.0
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,Other,A1,5.0,754.0,14.0,12.0,3.0,not included,not included,not included,3.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,GP,A1,1385.0,376307.0,4640.0,6233.0,1471.0,not included,not included,not included,1652.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,NHSCC,A1,1.0,227.0,2.0,3.0,3.0,not included,not included,not included,1.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,GUM,A1,1.0,147.0,3.0,6.0,0.0,not included,not included,not included,2.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,NHS_Hospital,A1,113.0,6324.0,242.0,397.0,163.0,not included,not included,not included,179.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,Private,A1,0.0,10.0,0.0,0.0,0.0,not included,not included,not included,0.0
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,Other,A1,1.0,445.0,11.0,14.0,1.0,not included,not included,not included,3.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,GP,A1,5756.0,593229.0,9038.0,25901.0,4486.0,not included,not included,not included,2720.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,NHSCC,A1,22.0,1075.0,21.0,54.0,13.0,not included,not included,not included,6.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,GUM,A1,55.0,3350.0,66.0,232.0,44.0,not included,not included,not included,26.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,NHS_Hospital,A1,583.0,21528.0,1759.0,4635.0,1310.0,not included,not included,not included,579.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,Private,A1,0.0,2.0,0.0,0.0,0.0,not included,not included,not included,0.0
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,Other,A1,0.0,9.0,0.0,1.0,0.0,not included,not included,not included,1.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,GP,A1,3245.0,530213.0,8062.0,17231.0,4239.0,not included,not included,not included,2666.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,NHSCC,A1,44.0,6579.0,109.0,225.0,38.0,not included,not included,not included,26.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,GUM,A1,13.0,1327.0,38.0,100.0,24.0,not included,not included,not included,19.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,NHS_Hospital,A1,290.0,11188.0,541.0,1474.0,522.0,not included,not included,not included,319.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,Private,A1,2.0,321.0,61.0,25.0,4.0,not included,not included,not included,4.0
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,Other,A1,18.0,2021.0,42.0,97.0,25.0,not included,not included,not included,13.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,GP,A1,2597.0,263410.0,2798.0,4585.0,995.0,not included,not included,not included,836.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,NHSCC,A1,5.0,580.0,8.0,20.0,1.0,not included,not included,not included,2.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,GUM,A1,21.0,1092.0,22.0,47.0,10.0,not included,not included,not included,7.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,NHS_Hospital,A1,139.0,7226.0,220.0,413.0,128.0,not included,not included,not included,85.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,Private,A1,5.0,235.0,0.0,5.0,0.0,not included,not included,not included,1.0
2022-23,N7,South West,61590,Southmead Hospital,Lab,Other,A1,47.0,3729.0,45.0,58.0,13.0,not included,not included,not included,13.0
